
 1.71406167003351E+0002;9.68769382547462E+0000;1.00000000000000E+0005
 1.72864512870167E+0002;1.03188961757716E+0001;7.94328234724280E+0004
 1.74364220406954E+0002;1.09491291375577E+0001;6.30957344480192E+0004
 1.75898411019602E+0002;1.16087698540612E+0001;5.01187233627272E+0004
 1.77469817288139E+0002;1.23299861470969E+0001;3.98107170553497E+0004
 1.79089250572089E+0002;1.31441644409915E+0001;3.16227766016838E+0004
 1.80773640633214E+0002;1.40807349984141E+0001;2.51188643150958E+0004
 1.82544293677956E+0002;1.51670848823048E+0001;1.99526231496888E+0004
 1.84425649536043E+0002;1.64291292315588E+0001;1.58489319246111E+0004
 1.86444566388003E+0002;1.78921839746483E+0001;1.25892541179417E+0004
 1.88630042438111E+0002;1.95819127043385E+0001;1.00000000000000E+0004
 1.91013255769099E+0002;2.15252336583086E+0001;7.94328234724285E+0003
 1.93627819472684E+0002;2.37511479912437E+0001;6.30957344480196E+0003
 1.96510178290581E+0002;2.62914918257424E+0001;5.01187233627274E+0003
 1.99700100607715E+0002;2.91816330958818E+0001;3.98107170553499E+0003
 2.03241240822574E+0002;3.24611399437557E+0001;3.16227766016839E+0003
 2.07181761693003E+0002;3.61744471133515E+0001;2.51188643150959E+0003
 2.11575015656943E+0002;4.03715442422450E+0001;1.99526231496889E+0003
 2.16480289992282E+0002;4.51087070948578E+0001;1.58489319246112E+0003
 2.21963624339344E+0002;5.04492904289887E+0001;1.25892541179417E+0003
 2.28098711505777E+0002;5.64645995994295E+0001;1.00000000000000E+0003
 2.34967894223316E+0002;6.32348571880614E+0001;7.94328234724284E+0002
 2.42663272013479E+0002;7.08502808271033E+0001;6.30957344480195E+0002
 2.51287933777321E+0002;7.94122888523264E+0001;5.01187233627273E+0002
 2.60957333292400E+0002;8.90348514005393E+0001;3.98107170553498E+0002
 2.71800826563370E+0002;9.98460059876057E+0001;3.16227766016839E+0002
 2.83963391986834E+0002;1.11989558429919E+0002;2.51188643150958E+0002
 2.97607556597457E+0002;1.25626992184163E+0002;1.99526231496888E+0002
 3.12915554296282E+0002;1.40939611774900E+0002;1.58489319246112E+0002
 3.30091744958964E+0002;1.58130948968665E+0002;1.25892541179416E+0002
 3.49365326718846E+0002;1.77429463760245E+0002;1.00000000000000E+0002
 3.70993377560101E+0002;1.99091576095370E+0002;7.94328234724282E+0001
 3.95264266687553E+0002;2.23405068607427E+0002;6.30957344480194E+0001
 4.22501481017498E+0002;2.50692905545899E+0002;5.01187233627273E+0001
 4.53067917620458E+0002;2.81317518582375E+0002;3.98107170553497E+0001
 4.87370699113403E+0002;3.15685616366239E+0002;3.16227766016838E+0001
 5.25866575926214E+0002;3.54253581646951E+0002;2.51188643150958E+0001
 5.69067987145769E+0002;3.97533527573859E+0002;1.99526231496888E+0001
 6.17549860373506E+0002;4.46100093530291E+0002;1.58489319246111E+0001
 6.71957240833940E+0002;5.00598070671791E+0002;1.25892541179416E+0001
 7.33013850971954E+0002;5.61750958348467E+0002;9.99999999999999E+0000
 8.01531694121344E+0002;6.30370564944455E+0002;7.94328234724281E+0000
 8.78421829679697E+0002;7.07367780527135E+0002;6.30957344480193E+0000
 9.64706462768777E+0002;7.93764664248829E+0002;5.01187233627272E+0000
 1.06153250880131E+0003;8.90708006890491E+0002;3.98107170553497E+0000
 1.17018681294578E+0003;9.99484548511911E+0002;3.16227766016838E+0000
 1.29211322644003E+0003;1.12153805313582E+0003;2.51188643150958E+0000
 1.42893176634386E+0003;1.25848846703556E+0003;1.99526231496888E+0000
 1.58246011296649E+0003;1.41215341484467E+0003;1.58489319246111E+0000
 1.75473773022462E+0003;1.58457231872837E+0003;1.25892541179417E+0000
 1.94805292899156E+0003;1.77803346066396E+0003;1.00000000000000E+0000
 2.16497323254973E+0003;1.99510434693034E+0003;7.94328234724281E-0001
 2.40837944707593E+0003;2.23866577772558E+0003;6.30957344480193E-0001
 2.68150388925249E+0003;2.51195007399621E+0003;5.01187233627272E-0001
 2.98797327826017E+0003;2.81858396872581E+0003;3.98107170553497E-0001
 3.33185686130221E+0003;3.16263673182492E+0003;3.16227766016838E-0001
 3.71772041125514E+0003;3.54867416721126E+0003;2.51188643150958E-0001
 4.15068681296135E+0003;3.98181919858931E+0003;1.99526231496888E-0001
 4.63650404210614E+0003;4.46781984786675E+0003;1.58489319246111E-0001
 5.18162143871705E+0003;5.01312550824073E+0003;1.25892541179417E-0001
 5.79327528738797E+0003;5.62497252405231E+0003;1.00000000000000E-0001
